pokemon_form_identifier,version_identifier,flavor_text
absol-mega-evolution,moon,"As the energy of Mega Evolution fills it, its fur bristles. What you see on its back are not true wings, and this Pokémon isn't able to fly."
absol-mega-evolution,sun,"When this Pokémon whips the winglike fur on its back as though beating its wings, it sends an intimidating aura flying at its opponents."
absol-mega-evolution,ultra-moon,It converts the energy from Mega Evolution into an intimidating aura. Fainthearted people expire from shock at the sight of it.
absol-mega-evolution,ultra-sun,"Normally, it dislikes fighting, so it really hates changing to this form for battles."
absol-mega-evolution-z,legends-za,"Using fur that it has made into sharp, clawlike shapes, it cuts down foes with a single blow. This is an act of kindness to keep them from suffering."
accelgor-default,alpha-sapphire,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
accelgor-default,black,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
accelgor-default,black-2,"When its body dries out, it weakens. So it wraps a membrane around itself for protection while it spits poison."
accelgor-default,omega-ruby,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements."
accelgor-default,shield,"Discarding its shell made it nimble. To keep itself from dehydrating, it wraps its body in bands of membrane."
accelgor-default,sword,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.
accelgor-default,white,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements."
accelgor-default,white-2,"When its body dries out, it weakens. So it wraps a membrane around itself for protection while it spits poison."
accelgor-default,x,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements."
accelgor-default,y,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
aegislash-blade,legends-za,This stance is dedicated to offense. It can cleave any opponent with the strength and weight of its steel blade.
aegislash-blade,shield,"Once upon a time, a king with an Aegislash reigned over the land. His Pokémon eventually drained him of life, and his kingdom fell with him."
aegislash-blade,sword,This stance is dedicated to offense. It can cleave any opponent with the strength and weight of its steel blade.
aegislash-shield,alpha-sapphire,"Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to become king."
aegislash-shield,legends-za,"Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to rule."
aegislash-shield,omega-ruby,"Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon."
aegislash-shield,shield,Its potent spectral powers allow it to manipulate others. It once used its powers to force people and Pokémon to build a kingdom to its liking.
aegislash-shield,sword,"In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack."
aegislash-shield,x,"Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon."
aegislash-shield,y,"Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to become king."
aerodactyl-default,alpha-sapphire,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
aerodactyl-default,black,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,black-2,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,blue,"A ferocious, prehistoric Pokémon that goes for the enemy's throat with its serrated saw-like fangs."
aerodactyl-default,brilliant-diamond,It's a Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,crystal,"In prehistoric times, this Pokémon flew freely and fearlessly through the skies."
aerodactyl-default,diamond,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,emerald,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from DNA extracted from amber. It is imagined to have been the king of the skies.
aerodactyl-default,firered,It was regenerated from a dinosaur's genetic matter that was found in amber. It flies with high-pitched cries.
aerodactyl-default,gold,"A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding."
aerodactyl-default,heartgold,"A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding."
aerodactyl-default,leafgreen,"A ferocious, prehistoric Pokémon that goes for the enemy's throat with its serrated, sawlike fangs."
aerodactyl-default,legends-za,It was regenerated from a pterosaur's genetic matter that was found in amber. It flies with high- pitched cries.
aerodactyl-default,lets-go-eevee,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
aerodactyl-default,lets-go-pikachu,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
aerodactyl-default,moon,"In ancient times, it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact."
aerodactyl-default,omega-ruby,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
aerodactyl-default,pearl,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,platinum,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,red,"A ferocious, prehistoric Pokémon that goes for the enemy's throat with its serrated saw-like fangs."
aerodactyl-default,ruby,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
aerodactyl-default,sapphire,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
aerodactyl-default,shield,Aerodactyl's sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.
aerodactyl-default,shining-pearl,It's a Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,silver,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
aerodactyl-default,soulsilver,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
aerodactyl-default,stadium,"A Pokémon that was resurrected from the genes of an ancient dinosaur. With sharp fangs, it is very vicious."
aerodactyl-default,stadium-2,"A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding."
aerodactyl-default,stadium-2,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
aerodactyl-default,sun,A Pokémon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.
aerodactyl-default,sword,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.
aerodactyl-default,ultra-moon,"It flew through the open skies over the ancient continent as if they were its own. When it touched ground, its walk was weak and slow."
aerodactyl-default,ultra-sun,"Restored from DNA found in amber, this Pokémon exhibited ferocity that was greater than expected. Some casualties resulted."
aerodactyl-default,white,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,white-2,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
aerodactyl-default,x,It was regenerated from a dinosaur's genetic matter that was found in amber. It flies with high-pitched cries.
aerodactyl-default,y,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
aerodactyl-default,yellow,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
aerodactyl-mega-evolution,legends-za,Parts of its body have become stone. Some scholars claim that this is Aerodactyl's true appearance.
aerodactyl-mega-evolution,lets-go-eevee,The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond.
aerodactyl-mega-evolution,lets-go-pikachu,The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond.
aerodactyl-mega-evolution,moon,"When it Mega Evolves, it becomes more vicious than ever before. Some say that's because its excess of power is causing it pain."
aerodactyl-mega-evolution,sun,Part of its body has become stone. Some scholars claim that this is Aerodactyl's true appearance.
aerodactyl-mega-evolution,ultra-moon,"Mega Evolution awakened some dormant genes, bringing back the sharp rocks that once covered Aerodactyl's entire body."
aerodactyl-mega-evolution,ultra-sun,"It will attack anything that moves. Mega Evolution is a burden on its body, so it's incredibly irritated."
aggron-default,alpha-sapphire,"Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pokémon will haul topsoil to the area, plant trees, and beautifully restore its own territory."
aggron-default,black,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,black-2,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly."
aggron-default,brilliant-diamond,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,diamond,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,emerald,Its iron horns grow longer a little at a time. They are used to determine the Aggron's age. The gouges in its armor are worn with pride as mementos from battles.
aggron-default,firered,It claims a large mountain as its sole territory. It mercilessly thrashes those that violate its space.
aggron-default,heartgold,You can tell its age by the length of its iron horns. It claims an entire mountain as its territory.
aggron-default,leafgreen,It claims a large mountain as its sole territory. It mercilessly thrashes those that violate its space.
aggron-default,legends-za,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly."
aggron-default,omega-ruby,Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times.
aggron-default,pearl,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,platinum,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,ruby,Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times.
aggron-default,sapphire,"Aggron is surprisingly protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pokémon will haul topsoil to the area, plant trees, and beautifully restore its own territory."
aggron-default,shield,"Long ago, there was a king who wore a helmet meant to resemble the head of an Aggron. He was trying to channel the Pokémon's strength."
aggron-default,shining-pearl,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,soulsilver,You can tell its age by the length of its iron horns. It claims an entire mountain as its territory.
aggron-default,sword,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
aggron-default,white,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-default,white-2,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly."
aggron-default,x,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly."
aggron-default,y,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
aggron-mega-evolution,legends-za,Energy from Mega Evolution has turned the iron inside this Pokémon into steel armor that covers Mega Aggron's whole body.
aipom-default,alpha-sapphire,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
aipom-default,black,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.
aipom-default,black-2,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.
aipom-default,brilliant-diamond,It uses its tail to pluck fruits that are out of reach. Its tail is more adept than its real hands.
aipom-default,crystal,It uses its tail to hang on to tree branches. It uses its momentum to swing from one branch to another.
aipom-default,diamond,It uses its tail to pluck fruits that are out of reach. Its tail is more adept than its real hands.
aipom-default,emerald,"Its tail ends with a dexterous, handlike appendage. However, because it uses the tail so much, Aipom's real hands have become rather clumsy."
aipom-default,firered,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance."
aipom-default,gold,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
aipom-default,heartgold,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
aipom-default,leafgreen,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
aipom-default,legends-arceus,This treetop dweller possesses a tail as dexterous as a hand. Ancient writings describe this Pokémon as a one-armed oddity.
aipom-default,omega-ruby,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
aipom-default,pearl,It lives atop giant trees. It wraps its tail around a branch so it won't fall off while asleep.
aipom-default,platinum,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.
aipom-default,ruby,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
aipom-default,sapphire,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
aipom-default,scarlet,"It lives atop of trees. When leaping from branch to branch, it deftly uses its tail for balance."
aipom-default,shining-pearl,It lives atop giant trees. It wraps its tail around a branch so it won't fall off while asleep.
aipom-default,silver,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance."
aipom-default,soulsilver,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance."
aipom-default,stadium-2,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance."
aipom-default,stadium-2,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
aipom-default,ultra-moon,"It searches for prey from the tops of trees. When it spots its favorite food, Bounsweet, Aipom gets excited and pounces."
aipom-default,ultra-sun,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops."
aipom-default,violet,"Its tail moves with greater dexterity than its hands. Making deft use of this tail, Aipom lives high among the treetops."
aipom-default,white,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.
aipom-default,white-2,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.
aipom-default,x,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance."
aipom-default,y,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
alakazam-default,alpha-sapphire,"Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
alakazam-default,black,The spoons clutched in its hands are said to have been created by its psychic powers.
alakazam-default,black-2,The spoons clutched in its hands are said to have been created by its psychic powers.
alakazam-default,blue,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
alakazam-default,brilliant-diamond,"Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000."
alakazam-default,crystal,It has an IQ of 5000. It calculates many things in order to gain the edge in every battle.
alakazam-default,diamond,"Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000."
alakazam-default,emerald,"While it has strong psychic abilities and high intelligence, an Alakazam's muscles are very weak. It uses psychic power to move its body."
alakazam-default,firered,"It does not like physical attacks very much. Instead, it freely uses extra-sensory powers to defeat foes."
alakazam-default,gold,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.
alakazam-default,heartgold,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.
alakazam-default,leafgreen,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000."
alakazam-default,legends-arceus,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head."
alakazam-default,legends-za,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
alakazam-default,lets-go-eevee,A Pokémon that can memorize anything. It never forgets what it learns—that's why this Pokémon is smart.
alakazam-default,lets-go-pikachu,A Pokémon that can memorize anything. It never forgets what it learns—that's why this Pokémon is smart.
alakazam-default,moon,"Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head."
alakazam-default,omega-ruby,"Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead."
alakazam-default,pearl,Its highly developed brain is on par with a supercomputer. It can use all forms of psychic abilities.
alakazam-default,platinum,The spoons clutched in its hands are said to have been created by its psychic powers.
alakazam-default,red,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
alakazam-default,ruby,"Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead."
alakazam-default,sapphire,"Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
alakazam-default,shield,Alakazam wields potent psychic powers. It's said that this Pokémon used these powers to create the spoons it holds.
alakazam-default,shining-pearl,Its highly developed brain is on par with a supercomputer. It can use all forms of psychic abilities.
alakazam-default,silver,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
alakazam-default,soulsilver,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
alakazam-default,stadium,A Pokémon that uses psychic power. It is highly intelligent and capable of instantly identifying its foe's weakness.
alakazam-default,stadium-2,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
alakazam-default,stadium-2,Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.
alakazam-default,sun,"It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby."
alakazam-default,sword,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
alakazam-default,ultra-moon,"If it trusts someone deeply, it will let them have one of its spoons. Anything you eat with that spoon is apparently delicious."
alakazam-default,ultra-sun,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there's only one of in the whole world.
alakazam-default,white,The spoons clutched in its hands are said to have been created by its psychic powers.
alakazam-default,white-2,The spoons clutched in its hands are said to have been created by its psychic powers.
alakazam-default,x,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
alakazam-default,y,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000."
alakazam-default,yellow,A Pokémon that can memorize anything. It never forgets what it learns--that's why this Pokémon is smart.
alakazam-mega-evolution,legends-za,"Alakazam has traded away its muscles, unleashing its true power. With its psychic powers, it can foresee all things."
alakazam-mega-evolution,lets-go-eevee,"It's adept at precognition. When attacks completely miss Alakazam, that's because it's seeing the future."
alakazam-mega-evolution,lets-go-pikachu,"It's adept at precognition. When attacks completely miss Alakazam, that's because it's seeing the future."
alakazam-mega-evolution,moon,"Its hidden psychic power has been unleashed. A glance at someone gives it knowledge of the course of that person's life, from birth to death."
alakazam-mega-evolution,sun,"As a result of Mega Evolution, its power has been entirely converted into psychic energy, and it has lost all strength in its muscles."
alakazam-mega-evolution,ultra-moon,"Having traded away its muscles, Alakazam's true power has been unleashed. With its psychic powers, it can foresee all things."
alakazam-mega-evolution,ultra-sun,It sends out psychic power from the red organ on its forehead to foresee its opponents' every move.
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a mixed flavor."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a complex flavor."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a sour flavor."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a salty flavor."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a bitter flavor."
alcremie-default,scarlet,"Desserts that Alcremie have decorated with their cream have a rich, sweet flavor and bring happiness to all who eat them."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it an aromatic flavor."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a refreshing flavor."
alcremie-default,scarlet,"Slight vibrations shook its cells when it evolved, giving it a sweet and tart flavor."
alcremie-default,shield,"The cells that compose its cream fluctuated suddenly during evolution, giving the cream a salty flavor."
alcremie-default,shield,"The cells that compose its cream fluctuated suddenly during evolution, giving the cream a mixed flavor."
alcremie-default,shield,"The cells that compose its cream fluctuated suddenly during evolution, giving the cream a bitter flavor."
alcremie-default,shield,"The cells that compose its cream fluctuated suddenly during evolution, giving the cream a complex flavor."
