ability_id,ability_short_effect_markup,ability_short_effect_html
71,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out..<br/>
{FLYING;TYPE;Flying}-type Pokémon and Pokémon in the air, e.g. due to {Levitate;ABILITY;levitate} or {Magnet Rise;MOVE;magnet-rise}, are unaffected.<br/>
Pokémon with {Run Away;ABILITY;run-away} can still flee. Pokémon can still switch out with the use of a move or item..<br/>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out..<br>
<span style=""background-color: #8FB8E5; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Flying"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/fab0a4d3718b88e4477c37e89ef56d1eb8b5ebcc591c4a13f2047cc3d7288b3a"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Flying""><span style=""color: rgb(255, 255, 255);"">Flying</span></a></span>-type Pokémon and Pokémon in the air, e.g. due to <a href=""/abilities/levitate"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Levitate</span></a> or <a href=""/moves/magnet-rise"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Magnet Rise</span></a>, are unaffected.<br>
Pokémon with <a href=""/abilities/run-away"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Run Away</span></a> can still flee. Pokémon can still switch out with the use of a move or item..<br>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled."
72,"This Pokémon cannot be {asleep;STATUS;sleep}.<br/>
This causes {Rest;MOVE;rest} to fail altogether.<br/>
If a Pokémon is asleep and acquires this ability, it will immediately wake up. This includes when regaining a lost ability upon leaving battle.<br/>
This ability functions identically to {Insomnia;ABILITY;insomnia} in battle.<br/>
Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","This Pokémon cannot be <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>asleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a>.<br>
This causes <a href=""/moves/rest"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rest</span></a> to fail altogether.<br>
If a Pokémon is asleep and acquires this ability, it will immediately wake up. This includes when regaining a lost ability upon leaving battle.<br>
This ability functions identically to <a href=""/abilities/insomnia"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Insomnia</span></a> in battle.<br>
Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased."
73,"This Pokémon cannot have its stats lowered by other Pokémon.<br/>
This ability does not prevent any stat losses other than {stat;STAT;STATS} modifiers, such as the {Speed;STAT;SPEED} cut from {paralysis;STATUS;paralysis} nor self-inflicted stat drops, such as the {Special Attack;STAT;SPATK} drop from {Overheat;MOVE;overheat} nor opponent-triggered stat boosts, such as the {Attack;STAT;ATTACK} boost from {Swagger;MOVE;swagger}.<br/>
This Pokémon can still be passed negative stat modifiers through {Guard Swap;MOVE;guard-swap}, {Heart Swap;MOVE;heart-swap}, or {Power Swap;MOVE;power-swap}.<br/>
This ability functions identically to {Clear Body;ABILITY;clear-body} in battle.<br/>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.","This Pokémon cannot have its stats lowered by other Pokémon.<br>
This ability does not prevent any stat losses other than <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifiers, such as the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> cut from <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralysis</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a> nor self-inflicted stat drops, such as the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> drop from <a href=""/moves/overheat"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Overheat</span></a> nor opponent-triggered stat boosts, such as the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> boost from <a href=""/moves/swagger"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Swagger</span></a>.<br>
This Pokémon can still be passed negative stat modifiers through <a href=""/moves/guard-swap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Guard Swap</span></a>, <a href=""/moves/heart-swap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Heart Swap</span></a>, or <a href=""/moves/power-swap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Power Swap</span></a>.<br>
This ability functions identically to <a href=""/abilities/clear-body"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Clear Body</span></a> in battle.<br>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved."
74,"This Pokémon's {Attack;STAT;ATTACK} is doubled in battle.<br/>
This bonus does not count as a {stat;STAT;STATS} modifier.<br/>
This ability functions identically to {Huge Power;ABILITY;huge-power}.","This Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is doubled in battle.<br>
This bonus does not count as a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifier.<br>
This ability functions identically to <a href=""/abilities/huge-power"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Huge Power</span></a>."
75,"Moves cannot score {critical hits;STAT;CRIT} against this Pokémon.<br/>
This ability functions identically to {Battle Armor;ABILITY;battle-armor}.","Moves cannot score <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hits</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> against this Pokémon.<br>
This ability functions identically to <a href=""/abilities/battle-armor"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Battle Armor</span></a>."
76,"While this Pokémon is in battle, {weather;WEATHER;WEATHER} can still be in play, but will not have any of its effects.<br/>
This ability functions identically to {Cloud Nine;ABILITY;cloud-nine}.","While this Pokémon is in battle, <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> can still be in play, but will not have any of its effects.<br>
This ability functions identically to <a href=""/abilities/cloud-nine"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Cloud Nine</span></a>."
77,"When this Pokémon is {confused;STATUS;confusion}, it has twice its {evasion;STAT;EVASION}.","When this Pokémon is <a href=""/status_conditions/confusion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>confused</span><img src=""https://cdn.pokedb.org/f162481dfa0d44b10562d008124e021314440a2180a1d25e8fe414ad8c2b1b0d"" width=""20"" height=""20"" alt=""Status Condition Icon for Confusion"" style=""width: 20px; height: 20px""></a>, it has twice its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
78,"Whenever an {ELECTRIC;TYPE;Electric}-type move hits this Pokémon, its {Speed;STAT;SPEED} rises one stage, negating any other effect on it.<br/>
This ability will not take effect if this Pokémon is immune to {ELECTRIC;TYPE;Electric}-type moves. Electric moves will ignore this Pokémon's {Substitute;MOVE;substitute}.<br/>
This effect includes non-damaging moves, i.e. {Thunder Wave;MOVE;thunder-wave}.","Whenever an <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type move hits this Pokémon, its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rises one stage, negating any other effect on it.<br>
This ability will not take effect if this Pokémon is immune to <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type moves. Electric moves will ignore this Pokémon's <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>.<br>
This effect includes non-damaging moves, i.e. <a href=""/moves/thunder-wave"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Wave</span></a>."
79,"This Pokémon inflicts 1.25x as much regular damage against Pokémon of the same gender and 0.75x as much regular damage against Pokémon of the opposite gender.<br/>
If either Pokémon is genderless, damage is unaffected.","This Pokémon inflicts 1.25x as much regular damage against Pokémon of the same gender and 0.75x as much regular damage against Pokémon of the opposite gender.<br>
If either Pokémon is genderless, damage is unaffected."
80,"Whenever this Pokémon {flinches;STATUS;flinch}, its {Speed;STAT;SPEED} rises one stage.","Whenever this Pokémon <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinches</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a>, its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rises one stage."
81,"During {hail;WEATHER;HAIL}, this Pokémon has 1.25x its {evasion;STAT;EVASION}, and it does not take hail damage regardless of type.<br/>
The evasion bonus does not count as a {stat;STAT;STATS} modifier.<br/>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in snow.","During <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">hail</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_blizzard_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, this Pokémon has 1.25x its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, and it does not take hail damage regardless of type.<br>
The evasion bonus does not count as a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifier.<br>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in snow."
82,"This Pokémon eats any held Berry triggered by low {HP;STAT;HP} when it falls below 50% of its HP, regardless of the Berry's usual threshold.","This Pokémon eats any held Berry triggered by low <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when it falls below 50% of its HP, regardless of the Berry's usual threshold."
83,"Whenever this Pokémon receives a {critical hit;STAT;CRIT}, its {Attack;STAT;ATTACK} rises to the maximum of 6 stages.<br/>
This ability will still take effect if the critical hit is received by a {Substitute;MOVE;substitute}.","Whenever this Pokémon receives a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hit</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rises to the maximum of 6 stages.<br>
This ability will still take effect if the critical hit is received by a <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>."
84,"When this Pokémon uses or loses its held item, its {Speed;STAT;SPEED} is doubled. If it gains another item or leaves battle, this bonus is lost.<br/>
This includes when the Pokémon drops its item because of {Knock Off;MOVE;knock-off}.<br/>
This bonus does not count as a {stat;STAT;STATS} modifier.<br/>
There is no notification when this ability takes effect.","When this Pokémon uses or loses its held item, its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is doubled. If it gains another item or leaves battle, this bonus is lost.<br>
This includes when the Pokémon drops its item because of <a href=""/moves/knock-off"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Knock Off</span></a>.<br>
This bonus does not count as a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifier.<br>
There is no notification when this ability takes effect."
85,This Pokémon takes half as much damage from {FIRE;TYPE;Fire}-type moves and {burns;STATUS;burn}.,"This Pokémon takes half as much damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type moves and <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burns</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>."
86,"Each stage of this Pokémon's {stat;STAT;STATS} modifiers acts as two stages.<br/>
These doubled stages are still limited to a minimum of -6 and a maximum of 6.<br/>
This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling.","Each stage of this Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifiers acts as two stages.<br>
These doubled stages are still limited to a minimum of -6 and a maximum of 6.<br>
This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling."
87,"This Pokémon takes <span style=""font-size: 1.3rem"">⅛</span> of its maximum {HP;STAT;HP} in damage after each turn during {harsh sunlight;WEATHER;HARSHSUNLIGHT}, but it heals for <span style=""font-size: 1.3rem"">⅛</span> of its {HP;STAT;HP} each turn during {rain;WEATHER;RAIN}.<br/>
This Pokémon takes 1.25x as much damage from {FIRE;TYPE;Fire}-type moves, but whenever a {WATER;TYPE;Water} move hits it, it heals for <span style=""font-size: 1.3rem"">¼</span> its maximum {HP;STAT;HP} instead.","This Pokémon takes <span style=""font-size: 1.3rem"">⅛</span> of its maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in damage after each turn during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, but it heals for <span style=""font-size: 1.3rem"">⅛</span> of its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> each turn during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>.<br>
This Pokémon takes 1.25x as much damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type moves, but whenever a <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span> move hits it, it heals for <span style=""font-size: 1.3rem"">¼</span> its maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> instead."
88,"When this Pokémon enters battle, its {Attack;STAT;ATTACK} or {Special Attack;STAT;SPATK}, whichever corresponds to its opponents' weaker total defensive stat, rises one stage.<br/>
In the event of a tie, {Special Attack;STAT;SPATK} is raised.<br/>
This ability also takes effect when acquired during a battle.","When this Pokémon enters battle, its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> or <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, whichever corresponds to its opponents' weaker total defensive stat, rises one stage.<br>
In the event of a tie, <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is raised.<br>
This ability also takes effect when acquired during a battle."
89,"Moves flagged as being punch-based have 1.2x their base power for this Pokémon.<br/>
{Sucker Punch;MOVE;sucker-punch} is not flagged as punch-based. Its original, Japanese name only means <i>surprise attack</i>.","Moves flagged as being punch-based have 1.2x their base power for this Pokémon.<br>
<a href=""/moves/sucker-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sucker Punch</span></a> is not flagged as punch-based. Its original, Japanese name only means <i>surprise attack</i>."
90,"If this Pokémon is {poisoned;STATUS;poison}, it will heal for <span style=""font-size: 1.3rem"">⅛</span> of its maximum {HP;STAT;HP} after each turn rather than taking damage.<br/>
This includes bad poison.","If this Pokémon is <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>, it will heal for <span style=""font-size: 1.3rem"">⅛</span> of its maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after each turn rather than taking damage.<br>
This includes bad poison."
91,"This Pokémon inflicts twice as much damage with moves whose types match its own, rather than the usual {same-type attack bonus;STAT;STAB} of 1.5x.","This Pokémon inflicts twice as much damage with moves whose types match its own, rather than the usual <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">same-type attack bonus</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/misc/stab_bonus.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of 1.5x."
92,"This Pokémon always hits five times with two-to-five-hit moves, such as {Icicle Spear;MOVE;icicle-spear}.<br/>
It also bypasses the accuracy checks on {Triple Kick;MOVE;triple-kick}'s second and third hits.","This Pokémon always hits five times with two-to-five-hit moves, such as <a href=""/moves/icicle-spear"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Icicle Spear</span></a>.<br>
It also bypasses the accuracy checks on <a href=""/moves/triple-kick"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Triple Kick</span></a>'s second and third hits."
