ability_id,version_identifier,flavor_text
5,x-y,It cannot be knocked out with one hit.
6,black-2-white-2,Prevents the use of self-destructing moves.
6,black-white,Prevents the use of self-destructing moves.
6,diamond-pearl,Prevents combatants from self destructing.
6,emerald,Prevents self-destruction.
6,firered-leafgreen,Prevents self-destruction.
6,heartgold-soulsilver,Prevents combatants from self-destructing.
6,lets-go-pikachu-lets-go-eevee,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings."
6,omega-ruby-alpha-sapphire,Prevents the use of self-destructing moves.
6,platinum,Prevents combatants from self destructing.
6,ruby-sapphire,Prevents self-destruction.
6,scarlet-violet,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
6,sun-moon,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.
6,sword-shield,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings."
6,ultra-sun-ultra-moon,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.
6,x-y,Prevents the use of self-destructing moves.
7,black-2-white-2,The Pokémon is protected from paralysis.
7,black-white,The Pokémon is protected from paralysis.
7,diamond-pearl,The Pokémon is protected from paralysis.
7,emerald,Prevents paralysis.
7,firered-leafgreen,Prevents paralysis.
7,heartgold-soulsilver,The Pokémon is protected from paralysis.
7,lets-go-pikachu-lets-go-eevee,Its limber body protects the Pokémon from paralysis.
7,omega-ruby-alpha-sapphire,Protects the Pokémon from paralysis.
7,platinum,The Pokémon is protected from paralysis.
7,ruby-sapphire,Prevents paralysis.
7,scarlet-violet,The Pokémon's limber body prevents it from being paralyzed.
7,sun-moon,Its limber body protects the Pokémon from paralysis.
7,sword-shield,Its limber body protects the Pokémon from paralysis.
7,ultra-sun-ultra-moon,Its limber body protects the Pokémon from paralysis.
7,x-y,Protects the Pokémon from paralysis.
8,black-2-white-2,Boosts the Pokémon’s evasion in a sandstorm.
8,black-white,Boosts the Pokémon’s evasion in a sandstorm.
8,diamond-pearl,Boosts the Pokémon’s evasion in a sandstorm.
8,emerald,Ups evasion in a sandstorm.
8,firered-leafgreen,Ups evasion in a sandstorm.
8,heartgold-soulsilver,Boosts the Pokémon’s evasion in a sandstorm.
8,lets-go-pikachu-lets-go-eevee,Boosts the Pokémon’s evasion in a sandstorm.
8,omega-ruby-alpha-sapphire,Boosts the Pokémon’s evasion in a sandstorm.
8,platinum,Boosts the Pokémon’s evasion in a sandstorm.
8,ruby-sapphire,Ups evasion in a sandstorm.
8,scarlet-violet,Boosts the Pokémon's evasiveness in a sandstorm.
8,sun-moon,Boosts the Pokémon’s evasion in a sandstorm.
8,sword-shield,Boosts the Pokémon’s evasiveness in a sandstorm.
8,ultra-sun-ultra-moon,Boosts the Pokémon’s evasion in a sandstorm.
8,x-y,Boosts the Pokémon’s evasion in a sandstorm.
9,black-2-white-2,Contact with the Pokémon may cause paralysis.
9,black-white,Contact with the Pokémon may cause paralysis.
9,diamond-pearl,Contact with the Pokémon may cause paralysis.
9,emerald,Paralyzes on contact.
9,firered-leafgreen,Paralyzes on contact.
9,heartgold-soulsilver,Contact with the Pokémon may cause paralysis.
9,lets-go-pikachu-lets-go-eevee,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
9,omega-ruby-alpha-sapphire,Contact with the Pokémon may cause paralysis.
9,platinum,Contact with the Pokémon may cause paralysis.
9,ruby-sapphire,Paralyzes on contact.
9,scarlet-violet,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
9,sun-moon,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
9,sword-shield,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
9,ultra-sun-ultra-moon,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
9,x-y,Contact with the Pokémon may cause paralysis.
10,black-2-white-2,Restores HP if hit by an Electric-type move.
10,black-white,Restores HP if hit by an Electric-type move.
10,diamond-pearl,Restores HP if hit by an Electric-type move.
10,emerald,Turns electricity into HP.
10,firered-leafgreen,Turns electricity into HP.
10,heartgold-soulsilver,Restores HP if hit by an Electric-type move.
10,lets-go-pikachu-lets-go-eevee,Restores HP if hit by an Electric-type move instead of taking damage.
10,omega-ruby-alpha-sapphire,Restores HP if hit by an Electric-type move.
10,platinum,Restores HP if hit by an Electric-type move.
10,ruby-sapphire,Turns electricity into HP.
10,scarlet-violet,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
10,sun-moon,"Restores HP if hit by an Electric-type move, instead of taking damage."
10,sword-shield,Restores HP if hit by an Electric-type move instead of taking damage.
10,ultra-sun-ultra-moon,"Restores HP if hit by an Electric-type move, instead of taking damage."
10,x-y,Restores HP if hit by an Electric-type move.
11,black-2-white-2,Restores HP if hit by a Water-type move.
11,black-white,Restores HP if hit by a Water-type move.
11,diamond-pearl,Restores HP if hit by a Water-type move.
11,emerald,Changes water into HP.
11,firered-leafgreen,Changes water into HP.
11,heartgold-soulsilver,Restores HP if hit by a Water-type move.
11,lets-go-pikachu-lets-go-eevee,Restores HP if hit by a Water-type move instead of taking damage.
11,omega-ruby-alpha-sapphire,Restores HP if hit by a Water-type move.
11,platinum,Restores HP if hit by a Water-type move.
11,ruby-sapphire,Changes water into HP.
11,scarlet-violet,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
11,sun-moon,"Restores HP if hit by a Water-type move, instead of taking damage."
11,sword-shield,Restores HP if hit by a Water-type move instead of taking damage.
11,ultra-sun-ultra-moon,"Restores HP if hit by a Water-type move, instead of taking damage."
11,x-y,Restores HP if hit by a Water-type move.
12,black-2-white-2,Prevents it from becoming infatuated.
12,black-white,Prevents it from becoming infatuated.
12,diamond-pearl,Prevents the Pokémon from becoming infatuated.
12,emerald,Prevents attraction.
12,firered-leafgreen,Prevents attraction.
12,heartgold-soulsilver,Prevents it from becoming infatuated.
12,lets-go-pikachu-lets-go-eevee,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
12,omega-ruby-alpha-sapphire,Keeps the Pokémon from being infatuated or falling for taunts.
12,platinum,Prevents the Pokémon from becoming infatuated.
12,ruby-sapphire,Prevents attraction.
12,scarlet-violet,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
12,sun-moon,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
12,sword-shield,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
12,ultra-sun-ultra-moon,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
12,x-y,Keeps the Pokémon from being infatuated or falling for taunts.
13,black-2-white-2,Eliminates the effects of weather.
13,black-white,Eliminates the effects of weather.
13,diamond-pearl,Eliminates the effects of weather.
13,emerald,Negates weather effects.
13,firered-leafgreen,Negates weather effects.
13,heartgold-soulsilver,Eliminates the effects of weather.
13,lets-go-pikachu-lets-go-eevee,Eliminates the effects of weather.
13,omega-ruby-alpha-sapphire,Eliminates the effects of weather.
13,platinum,Eliminates the effects of weather.
13,ruby-sapphire,Negates weather effects.
13,scarlet-violet,Eliminates the effects of weather.
13,sun-moon,Eliminates the effects of weather.
13,sword-shield,Eliminates the effects of weather.
13,ultra-sun-ultra-moon,Eliminates the effects of weather.
13,x-y,Eliminates the effects of weather.
14,black-2-white-2,The Pokémon’s accuracy is boosted.
14,black-white,The Pokémon’s accuracy is boosted.
14,diamond-pearl,The Pokémon’s accuracy is boosted.
14,emerald,Raises accuracy.
14,firered-leafgreen,Raises accuracy.
14,heartgold-soulsilver,The Pokémon’s accuracy is boosted.
14,lets-go-pikachu-lets-go-eevee,The Pokémon’s compound eyes boost its accuracy.
14,omega-ruby-alpha-sapphire,Boosts the Pokémon’s accuracy.
14,platinum,The Pokémon’s accuracy is boosted.
14,ruby-sapphire,Raises accuracy.
14,scarlet-violet,The Pokémon's compound eyes boost its accuracy.
14,sun-moon,The Pokémon’s compound eyes boost its accuracy.
14,sword-shield,The Pokémon’s compound eyes boost its accuracy.
14,ultra-sun-ultra-moon,The Pokémon’s compound eyes boost its accuracy.
14,x-y,Boosts the Pokémon’s accuracy.
15,black-2-white-2,Prevents the Pokémon from falling asleep.
15,black-white,Prevents the Pokémon from falling asleep.
15,diamond-pearl,Prevents the Pokémon from falling asleep.
15,emerald,Prevents sleep.
15,firered-leafgreen,Prevents sleep.
15,heartgold-soulsilver,Prevents the Pokémon from falling asleep.
15,lets-go-pikachu-lets-go-eevee,The Pokémon is suffering from insomnia and cannot fall asleep.
15,omega-ruby-alpha-sapphire,Prevents the Pokémon from falling asleep.
15,platinum,Prevents the Pokémon from falling asleep.
15,ruby-sapphire,Prevents sleep.
15,sun-moon,The Pokémon is suffering from insomnia and cannot fall asleep.
15,sword-shield,The Pokémon is suffering from insomnia and cannot fall asleep.
15,sword-shield,The Pokémon's insomnia prevents it from falling asleep.
15,ultra-sun-ultra-moon,The Pokémon is suffering from insomnia and cannot fall asleep.
15,x-y,Prevents the Pokémon from falling asleep.
16,black-2-white-2,Changes the Pokémon’s type to the foe’s move.
16,black-white,Changes the Pokémon’s type to the foe’s move.
16,diamond-pearl,Changes the Pokémon’s type to the foe’s move.
16,emerald,Changes type to foe’s move.
16,firered-leafgreen,Changes type to foe’s move.
16,heartgold-soulsilver,Changes the Pokémon’s type to the foe’s move.
16,lets-go-pikachu-lets-go-eevee,The Pokémon’s type becomes the type of the move used on it.
16,omega-ruby-alpha-sapphire,The Pokémon’s type becomes the type of the move used on it.
16,platinum,Changes the Pokémon’s type to the foe’s move.
16,ruby-sapphire,Changes type to foe’s move.
16,sun-moon,The Pokémon’s type becomes the type of the move used on it.
16,sword-shield,The Pokémon’s type becomes the type of the move used on it.
16,ultra-sun-ultra-moon,The Pokémon’s type becomes the type of the move used on it.
16,x-y,The Pokémon’s type becomes the type of the move used on it.
17,black-2-white-2,Prevents the Pokémon from getting poisoned.
17,black-white,Prevents the Pokémon from getting poisoned.
17,diamond-pearl,Prevents the Pokémon from getting poisoned.
17,emerald,Prevents poisoning.
17,firered-leafgreen,Prevents poisoning.
17,heartgold-soulsilver,Prevents the Pokémon from getting poisoned.
17,lets-go-pikachu-lets-go-eevee,The immune system of the Pokémon prevents it from getting poisoned.
17,omega-ruby-alpha-sapphire,Prevents the Pokémon from getting poisoned.
17,platinum,Prevents the Pokémon from getting poisoned.
17,ruby-sapphire,Prevents poisoning.
17,scarlet-violet,The Pokémon's immune system prevents it from being poisoned.
17,sun-moon,The immune system of the Pokémon prevents it from getting poisoned.
17,sword-shield,The immune system of the Pokémon prevents it from getting poisoned.
17,ultra-sun-ultra-moon,The immune system of the Pokémon prevents it from getting poisoned.
17,x-y,Prevents the Pokémon from getting poisoned.
18,black-2-white-2,It powers up Fire-type moves if it’s hit by one.
18,black-white,It powers up Fire-type moves if it’s hit by one.
18,diamond-pearl,Powers up Fire-type moves if hit by a fire move.
18,emerald,Powers up if hit by fire.
18,firered-leafgreen,Powers up if hit by fire.
18,heartgold-soulsilver,It powers up Fire-type moves if it’s hit by one.
18,lets-go-pikachu-lets-go-eevee,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
18,omega-ruby-alpha-sapphire,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
18,platinum,Powers up Fire-type moves if hit by a fire move.
18,ruby-sapphire,Powers up if hit by fire.
18,scarlet-violet,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
18,sun-moon,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
18,sword-shield,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
18,ultra-sun-ultra-moon,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
18,x-y,Powers up the Pokémon’s Fire- type moves if it’s hit by one.
19,black-2-white-2,Blocks the added effects of attacks taken.
19,black-white,Blocks the added effects of attacks taken.
19,diamond-pearl,Blocks the added effects of attacks taken.
19,emerald,Prevents added effects.
19,firered-leafgreen,Prevents added effects.
19,heartgold-soulsilver,Blocks the added effects of attacks taken.
19,lets-go-pikachu-lets-go-eevee,This Pokémon’s dust blocks the additional effects of attacks taken.
19,omega-ruby-alpha-sapphire,Blocks the additional effects of attacks taken.
19,platinum,Blocks the added effects of attacks taken.
19,ruby-sapphire,Prevents added effects.
19,scarlet-violet,Protective dust shields the Pokémon from the additional effects of moves.
19,sun-moon,This Pokémon’s dust blocks the additional effects of attacks taken.
19,sword-shield,This Pokémon’s dust blocks the additional effects of attacks taken.
19,ultra-sun-ultra-moon,This Pokémon’s dust blocks the additional effects of attacks taken.
19,x-y,Blocks the additional effects of attacks taken.
20,black-2-white-2,Prevents the Pokémon from becoming confused.
20,black-white,Prevents the Pokémon from becoming confused.
20,diamond-pearl,Prevents the Pokémon from becoming confused.
20,emerald,Prevents confusion.
20,firered-leafgreen,Prevents confusion.
20,heartgold-soulsilver,Prevents the Pokémon from becoming confused.
20,lets-go-pikachu-lets-go-eevee,"This Pokémon has its own tempo, and that prevents it from becoming confused."
20,omega-ruby-alpha-sapphire,Prevents the Pokémon from becoming confused.
20,platinum,Prevents the Pokémon from becoming confused.
20,ruby-sapphire,Prevents confusion.
20,scarlet-violet,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
20,sun-moon,"This Pokémon has its own tempo, and that prevents it from becoming confused."
20,sword-shield,"This Pokémon has its own tempo, and that prevents it from becoming confused."
20,ultra-sun-ultra-moon,"This Pokémon has its own tempo, and that prevents it from becoming confused."
20,x-y,Prevents the Pokémon from becoming confused.
21,black-2-white-2,Negates all moves that force switching out.
21,black-white,Negates all moves that force switching out.
21,diamond-pearl,Negates moves that force switching out.
21,emerald,Firmly anchors the body.
21,firered-leafgreen,Firmly anchors the body.
21,heartgold-soulsilver,Negates foes’ moves that force switching out.
21,lets-go-pikachu-lets-go-eevee,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
21,omega-ruby-alpha-sapphire,Negates all moves and items that force switching out.
21,platinum,Negates moves that force switching out.
21,ruby-sapphire,Firmly anchors the body.
21,sun-moon,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
21,sword-shield,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
21,the-indigo-disk,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
21,ultra-sun-ultra-moon,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
21,x-y,Negates all moves and items that force switching out.
22,black-2-white-2,Lowers the foe’s Attack stat.
22,black-white,Lowers the foe’s Attack stat.
22,diamond-pearl,Lowers the foe’s Attack stat.
22,emerald,Lowers the foe’s ATTACK.
22,firered-leafgreen,Lowers the foe’s ATTACK.
22,heartgold-soulsilver,Lowers the foe’s Attack stat.
22,lets-go-pikachu-lets-go-eevee,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
22,omega-ruby-alpha-sapphire,Lowers the opposing Pokémon’s Attack stat.
22,platinum,Lowers the foe’s Attack stat.
22,ruby-sapphire,Lowers the foe’s ATTACK.
22,scarlet-violet,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
22,sun-moon,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
22,sword-shield,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
22,ultra-sun-ultra-moon,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
22,x-y,Lowers the opposing Pokémon’s Attack stat.
23,black-2-white-2,Prevents the foe from escaping.
23,black-white,Prevents the foe from escaping.
23,diamond-pearl,Prevents the foe from escaping.
23,emerald,Prevents the foe’s escape.
23,firered-leafgreen,Prevents the foe’s escape.
23,heartgold-soulsilver,Prevents the foe from escaping.
23,lets-go-pikachu-lets-go-eevee,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
23,omega-ruby-alpha-sapphire,Prevents opposing Pokémon from escaping.
23,platinum,Prevents the foe from escaping.
23,ruby-sapphire,Prevents the foe’s escape.
23,scarlet-violet,The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.
23,sun-moon,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
23,sword-shield,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
23,ultra-sun-ultra-moon,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
23,x-y,Prevents opposing Pokémon from escaping.
24,black-2-white-2,Inflicts damage to the attacker on contact.
24,black-white,Inflicts damage to the attacker on contact.
24,diamond-pearl,Inflicts damage to the foe on contact.
24,emerald,Hurts to touch.
24,firered-leafgreen,Hurts to touch.
24,heartgold-soulsilver,Inflicts damage to the foe on contact.
24,lets-go-pikachu-lets-go-eevee,This Pokémon inflicts damage with its rough skin to the attacker on contact.
24,omega-ruby-alpha-sapphire,Inflicts damage to the attacker on contact.
24,platinum,Inflicts damage to the foe on contact.
24,ruby-sapphire,Hurts to touch.
24,scarlet-violet,The Pokémon's rough skin damages attackers that make direct contact with it.
24,sun-moon,This Pokémon inflicts damage with its rough skin to the attacker on contact.
24,sword-shield,This Pokémon inflicts damage with its rough skin to the attacker on contact.
24,ultra-sun-ultra-moon,This Pokémon inflicts damage with its rough skin to the attacker on contact.
24,x-y,Inflicts damage to the attacker on contact.
25,black-2-white-2,Only supereffective moves will hit.
25,black-white,Only supereffective moves will hit.
25,diamond-pearl,Only supereffective moves will hit.
25,emerald,“Super effective” hits.
25,firered-leafgreen,“Super effective” hits.
25,heartgold-soulsilver,Only supereffective moves will hit.
25,lets-go-pikachu-lets-go-eevee,Its mysterious power only lets supereffective moves hit the Pokémon.
25,omega-ruby-alpha-sapphire,Only supereffective moves will hit.
25,platinum,Only supereffective moves will hit.
25,ruby-sapphire,“Super effective” hits.
25,sun-moon,Its mysterious power only lets supereffective moves hit the Pokémon.
25,sword-shield,Its mysterious power only lets supereffective moves hit the Pokémon.
25,ultra-sun-ultra-moon,Its mysterious power only lets supereffective moves hit the Pokémon.
25,x-y,Only supereffective moves will hit.
26,black-2-white-2,Gives full immunity to all Ground-type moves.
26,black-white,Gives full immunity to all Ground-type moves.
26,diamond-pearl,Gives full immunity to all Ground-type moves.
26,emerald,Not hit by GROUND attacks.
26,firered-leafgreen,Not hit by GROUND attacks.
26,heartgold-soulsilver,Gives full immunity to all Ground-type moves.
26,lets-go-pikachu-lets-go-eevee,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
26,omega-ruby-alpha-sapphire,Gives full immunity to all Ground-type moves.
26,platinum,Gives full immunity to all Ground-type moves.
26,ruby-sapphire,Not hit by GROUND attacks.
26,scarlet-violet,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
26,sun-moon,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
26,sword-shield,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
26,ultra-sun-ultra-moon,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
26,x-y,Gives full immunity to all Ground-type moves.
27,black-2-white-2,Contact may poison or cause paralysis or sleep.
27,black-white,Contact may poison or cause paralysis or sleep.
27,diamond-pearl,"Contact may paralyze, poison, or cause sleep."
27,emerald,Leaves spores on contact.
27,firered-leafgreen,Leaves spores on contact.
27,heartgold-soulsilver,"Contact may paralyze, poison, or cause sleep."
27,lets-go-pikachu-lets-go-eevee,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
27,omega-ruby-alpha-sapphire,Contact may poison or cause paralysis or sleep.
27,platinum,"Contact may paralyze, poison, or cause sleep."
27,ruby-sapphire,Leaves spores on contact.
27,scarlet-violet,"Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker."
27,sun-moon,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
27,sword-shield,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
27,ultra-sun-ultra-moon,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
27,x-y,Contact may poison or cause paralysis or sleep.
28,black-2-white-2,"Passes a burn, poison, or paralysis to the foe."
28,black-white,"Passes a burn, poison, or paralysis to the foe."
28,diamond-pearl,"Passes on a burn, poison, or paralysis to the foe."
28,emerald,Passes on status problems.
28,firered-leafgreen,Passes on status problems.
28,heartgold-soulsilver,"Passes a burn, poison, or paralysis to the foe."
28,lets-go-pikachu-lets-go-eevee,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
28,omega-ruby-alpha-sapphire,"Passes poison, paralyze, or burn to the Pokémon that inflicted it."
28,platinum,"Passes on a burn, poison, or paralysis to the foe."
28,ruby-sapphire,Passes on status problems.
28,scarlet-violet,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
28,sun-moon,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
28,sword-shield,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
28,ultra-sun-ultra-moon,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
28,x-y,"Passes poison, paralyze, or burn to the Pokémon that inflicted it."
29,black-2-white-2,Prevents other Pokémon from lowering its stats.
29,black-white,Prevents other Pokémon from lowering its stats.
29,diamond-pearl,Prevents the Pokémon’s stats from being lowered.
29,emerald,Prevents ability reduction.
29,firered-leafgreen,Prevents ability reduction.
29,heartgold-soulsilver,Prevents its stats from being lowered.
29,lets-go-pikachu-lets-go-eevee,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
29,omega-ruby-alpha-sapphire,Prevents other Pokémon from lowering its stats.
29,platinum,Prevents the Pokémon’s stats from being lowered.
29,ruby-sapphire,Prevents ability reduction.
29,scarlet-violet,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
29,sun-moon,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
29,sword-shield,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
29,ultra-sun-ultra-moon,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
29,x-y,Prevents other Pokémon from lowering its stats.
30,black-2-white-2,All status problems heal when it switches out.
30,black-white,All status problems heal when it switches out.
30,diamond-pearl,All status problems are healed upon switching out.
30,emerald,Heals upon switching out.
30,firered-leafgreen,Heals upon switching out.
30,heartgold-soulsilver,All status problems heal when it switches out.
30,lets-go-pikachu-lets-go-eevee,All status conditions heal when the Pokémon switches out.
30,omega-ruby-alpha-sapphire,All status conditions heal when the Pokémon switches out.
30,platinum,All status problems are healed upon switching out.
30,ruby-sapphire,Heals upon switching out.
30,scarlet-violet,The Pokémon's status conditions are cured when it switches out.
30,sun-moon,All status conditions heal when the Pokémon switches out.
30,sword-shield,All status conditions heal when the Pokémon switches out.
30,ultra-sun-ultra-moon,All status conditions heal when the Pokémon switches out.
30,x-y,All status conditions heal when the Pokémon switches out.
31,black-2-white-2,Draws in all Electric-type moves to up Sp. Attack.
31,black-white,Draws in all Electric-type moves to up Sp. Attack.
31,diamond-pearl,The Pokémon draws in all Electric-type moves.
31,emerald,Draws electrical moves.
31,firered-leafgreen,Draws electrical moves.
31,heartgold-soulsilver,The Pokémon draws in all Electric-type moves.
31,lets-go-pikachu-lets-go-eevee,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk."
31,omega-ruby-alpha-sapphire,Draws in all Electric-type moves to boost its Sp. Atk stat.
31,platinum,The Pokémon draws in all Electric-type moves.
