item_identifier,version_identifier,localized_name
academy-tablecloth,scarlet-violet,The academy's standard-issue tablecloth. It's made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.
acro-bike,emerald,A folding bicycle capable of jumps and wheelies.
acro-bike,firered-leafgreen,A folding bicycle that is capable of stunts like jumps and wheelies.
acro-bike,omega-ruby-alpha-sapphire,This folding Bike allows you to perform actions such as wheelies and bunny hops.
acro-bike,ruby-sapphire,A folding bicycle capable of jumps and wheelies.
acro-bike,sun-moon,This folding Bike allows you to perform actions such as wheelies and bunny hops.
acro-bike,ultra-sun-ultra-moon,This folding Bike allows you to perform actions such as wheelies and bunny hops.
adamant-crystal,legends-arceus,"When used on Dialga, this large, glowing gem wells with power and allows the Pokémon to change form."
adamant-crystal,scarlet-violet,"An item to be held by Dialga. This large, glowing gem wells with power and allows the Pokémon to change form."
adamant-mint,brilliant-diamond-shining-pearl,"When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Atk will grow more slowly."
adamant-mint,legends-arceus,"When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Atk will grow more slowly."
adamant-mint,scarlet-violet,"Having a Pokémon smell this mint can make its Attack stat grow stronger. However, its Sp. Atk stat may suffer."
adamant-mint,sword-shield,"When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Atk will grow more slowly."
adamant-orb,black-2-white-2,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
adamant-orb,black-white,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
adamant-orb,brilliant-diamond-shining-pearl,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,diamond-pearl,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
adamant-orb,heartgold-soulsilver,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
adamant-orb,legends-arceus,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,lets-go-pikachu-lets-go-eevee,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,omega-ruby-alpha-sapphire,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,platinum,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
adamant-orb,scarlet-violet,A brightly shining gem to be held by Dialga. It boosts the power of Dialga’s Dragon- and Steel-type moves.
adamant-orb,sun-moon,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,sword-shield,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,ultra-sun-ultra-moon,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adamant-orb,x-y,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adrenaline-orb,scarlet-violet,An item to be held by a Pokémon. This orb boosts the Speed stat if the holder is intimidated.
adrenaline-orb,sun-moon,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
adrenaline-orb,sword-shield,"If held by a Pokémon, it boosts Speed when intimidated."
adrenaline-orb,ultra-sun-ultra-moon,"Using it makes wild Pokémon call for help a number of times. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
adventure-guide,brilliant-diamond-shining-pearl,A compact device that automatically collects and records advice when a Trainer is out on an adventure.
adventure-guide,legends-arceus,A compact device that automatically collects and records advice when a Trainer is out on an adventure.
adventure-guide,lets-go-pikachu-lets-go-eevee,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
adventure-guide,omega-ruby-alpha-sapphire,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
adventure-guide,scarlet-violet,A mysterious and convenient notebook that contains all the advice a Trainer receives out on an adventure.
adventure-guide,sun-moon,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
adventure-guide,sword-shield,A compact device that automatically collects and records advice when a Trainer is out on an adventure.
adventure-guide,ultra-sun-ultra-moon,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
adventure-guide,x-y,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
aerodactylite,legends-za,One of a variety of mysterious Mega Stones. An Aerodactyl holding this stone will be able to Mega Evolve during battle.
aerodactylite,lets-go-pikachu-lets-go-eevee,One of a variety of mysterious Mega Stones. This stone will enable Aerodactyl to Mega Evolve during battle.
aerodactylite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
aerodactylite,sun-moon,"One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
aerodactylite,x-y,"One variety of the mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
aggronite,legends-za,One of a variety of mysterious Mega Stones. An Aggron holding this stone will be able to Mega Evolve during battle.
aggronite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
aggronite,x-y,"One variety of the mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
aguav-berry,diamond-pearl,"If held by a Pokémon, it restores the user's HP in a pinch, but may also cause confusion."
aguav-berry,emerald,A hold item that restores HP but may confuse.
aguav-berry,legends-arceus,A Berry that can be fed to a Pokémon to restore its HP by up to half its max.
aguav-berry,platinum,"If held by a Pokémon, it restores the user's HP in a pinch, but may also cause confusion."
aguav-berry,ruby-sapphire,A hold item that restores HP but may confuse.
aguav-berry,scarlet-violet,"If a Pokémon holds one of these Berries, it will be able to restore some HP should it find itself in a pinch."
aguav-berry,sword-shield,"If held by a Pokémon, it restores the user's HP in a pinch, but it will cause confusion if the user hates the taste."
air-balloon,black-2-white-2,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
air-balloon,scarlet-violet,"An item to be held by a Pokémon. This balloon makes the holder float in the air. If the holder is hit with an attack, the balloon will burst."
air-balloon,sun-moon,"An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst."
air-balloon,sword-shield,"An item to be held by a Pokémon. The holder will float in the air until hit. Once the holder is hit, this item will burst."
air-balloon,x-y,"An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst."
air-mail,diamond-pearl,Stationery featuring a print of colorful letter sets. Let a Pokémon hold it for delivery.
air-mail,heartgold-soulsilver,Stationery featuring a print of colorful letter sets. Let a Pokémon hold it for delivery.
alakazite,legends-za,One of a variety of mysterious Mega Stones. An Alakazam holding this stone will be able to Mega Evolve during battle.
alakazite,lets-go-pikachu-lets-go-eevee,One of a variety of mysterious Mega Stones. This stone will enable Alakazam to Mega Evolve during battle.
alakazite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
alakazite,x-y,"One variety of the mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
aloraichium-z,scarlet-violet,It converts Z-Power into crystals that upgrade Alolan Raichu's Thunderbolt to a Z-Move.
aloraichium-z,sun-moon,It converts Z-Power into crystals that upgrade Alolan Raichu's Thunderbolt to an exclusive Z-Move.
aloraichium-z,ultra-sun-ultra-moon,It converts Z-Power into crystals that upgrade Alolan Raichu's Thunderbolt to an exclusive Z-Move.
altarianite,brilliant-diamond-shining-pearl,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,legends-arceus,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,legends-za,One of a variety of mysterious Mega Stones. An Altaria holding this stone will be able to Mega Evolve during battle.
altarianite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,scarlet-violet,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,sun-moon,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,sword-shield,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,ultra-sun-ultra-moon,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
amaze-mulch,brilliant-diamond-shining-pearl,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,legends-arceus,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,omega-ruby-alpha-sapphire,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,scarlet-violet,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,sun-moon,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,sword-shield,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,ultra-sun-ultra-moon,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,x-y,"Mulch to be used in a Berry field. An amazing Mulch with the effects of Rich, Surprise, and Boost Mulch."
amazing-butter,legends-za,"An amazing pack of butter found in Hyperspace Lumiose. With it, you should be able to make even higher quality donuts than before."
ampharosite,legends-za,One of a variety of mysterious Mega Stones. An Ampharos holding this stone will be able to Mega Evolve during battle.
ampharosite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
ampharosite,sun-moon,"One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
ampharosite,ultra-sun-ultra-moon,"One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
ampharosite,x-y,"One variety of the mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
amulet-coin,crystal,Doubles monetary earnings. (HOLD)
amulet-coin,diamond-pearl,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.
amulet-coin,gold-silver,Doubles monetary earnings. (HOLD)
amulet-coin,platinum,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.
amulet-coin,scarlet-violet,An item to be held by a Pokémon. It doubles any prize money received as long as the holder joins the battle at least once.
antidote,black-2-white-2,A spray-type medicine. It lifts the effect of poison from one Pokémon.
antidote,black-white,A spray-type medicine. It lifts the effect of poison from one Pokémon.
antidote,brilliant-diamond-shining-pearl,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
antidote,colosseum,Heals a poisoned Pokémon.
antidote,crystal,Cures poisoned Pokémon.
antidote,diamond-pearl,A spray-type medicine. It lifts the effect of poison from one Pokémon.
antidote,emerald,Heals a poisoned Pokémon.
antidote,firered-leafgreen,A spray-type medicine. It heals one Pokémon from a poisoning.
antidote,gold-silver,Cures poisoned Pokémon.
antidote,heartgold-soulsilver,A spray-type medicine. It lifts the effect of poison from one Pokémon.
antidote,legends-arceus,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
antidote,legends-za,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a Pokémon.
antidote,lets-go-pikachu-lets-go-eevee,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
antidote,omega-ruby-alpha-sapphire,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
antidote,platinum,A spray-type medicine. It lifts the effect of poison from one Pokémon.
antidote,ruby-sapphire,Heals a poisoned Pokémon.
antidote,scarlet-violet,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a Pokémon.
antidote,stadium,An antidote for curing a poisoned Pokémon.
antidote,sun-moon,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
antidote,sword-shield,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
antidote,ultra-sun-ultra-moon,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
antidote,x-y,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
antidote,xd,Heals a poisoned Pokémon.
apicot-berry,diamond-pearl,"A Poffin ingredient. If held by a Pokémon, it raises its Sp. Def stat in a pinch."
apicot-berry,firered-leafgreen,"When held by a Pokémon, it raises the Sp. Def stat in a pinch."
apicot-berry,heartgold-soulsilver,"If held by a Pokémon, it raises its Sp. Def stat in a pinch."
apicot-berry,ruby-sapphire,A hold item that raises Sp. Def in a pinch.
apicot-berry,scarlet-violet,"If a Pokémon holds one of these Berries, its Sp. Def stat will be boosted should it find itself in a pinch."
apicot-berry,x-y,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it's in a pinch."
apple,scarlet-violet,This very sweet ingredient is sliced thin to make it easy to add into a sandwich.
apricorn,legends-arceus,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch. Its proper name is actually “Brown Apricorn.”
apricorn,scarlet-violet,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch. Its proper name is actually “Brown Apricorn.”
apricorn-box,black-2-white-2,A handy box where you can store up to 99 Apricorns of each kind.
apricorn-box,black-white,A handy box where you can store up to 99 Apricorns of each kind.
apricorn-box,brilliant-diamond-shining-pearl,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,heartgold-soulsilver,A handy box where you can store up to 99 Apricorns of each kind.
apricorn-box,legends-arceus,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,omega-ruby-alpha-sapphire,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,scarlet-violet,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,sun-moon,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,sword-shield,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,ultra-sun-ultra-moon,A handy box where you can store up to 99 of each kind of Apricorn.
apricorn-box,x-y,A handy box where you can store up to 99 of each kind of Apricorn.
aqua-suit,brilliant-diamond-shining-pearl,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,legends-arceus,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,lets-go-pikachu-lets-go-eevee,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,omega-ruby-alpha-sapphire,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,scarlet-violet,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,sun-moon,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,sword-shield,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
aqua-suit,ultra-sun-ultra-moon,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
arboliva-oil,legends-za,The oil produced by Paldea's Arboliva is said to be so delicious you'll feel as if you've gone to heaven after tasting it. How Corbeau got some is best left a mystery.
armor-fossil,black-2-white-2,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
armor-fossil,black-white,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
armor-fossil,brilliant-diamond-shining-pearl,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,diamond-pearl,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
armor-fossil,heartgold-soulsilver,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
armor-fossil,legends-arceus,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,omega-ruby-alpha-sapphire,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,platinum,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
armor-fossil,scarlet-violet,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,sun-moon,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,sword-shield,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,ultra-sun-ultra-moon,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-fossil,x-y,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-pass,brilliant-diamond-shining-pearl,A pass to go to the Isle of Armor. Show it to the rail staff at Wedgehurst Station.
armor-pass,legends-arceus,A pass to go to the Isle of Armor. Show it to the rail staff at Wedgehurst Station.
armor-pass,scarlet-violet,A pass to go to the Isle of Armor. Show it to the rail staff at Wedgehurst Station.
armor-pass,sword-shield,A pass to go to the Isle of Armor. Show it to the rail staff at Wedgehurst Station.
armorite-ore,brilliant-diamond-shining-pearl,Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
armorite-ore,legends-arceus,Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
armorite-ore,scarlet-violet,Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
armorite-ore,sword-shield,Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
articuno-treat,scarlet-violet,A snack made from ingredients favored by the Legendary Pokémon Articuno.
aspear-berry,emerald,A hold item that defrosts Pokémon in battle.
aspear-berry,legends-arceus,A Berry that can be fed to a Pokémon to cure its frostbite or thrown to draw wild Pokémon’s attention.
aspear-berry,ruby-sapphire,A hold item that defrosts Pokémon in battle.
aspear-berry,x-y,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle."
assault-vest,scarlet-violet,An item to be held by a Pokémon. This offensive vest boosts the holder's Sp. Def stat but prevents the use of status moves.
assault-vest,x-y,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
audinite,brilliant-diamond-shining-pearl,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
audinite,legends-arceus,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
audinite,legends-za,One of a variety of mysterious Mega Stones. An Audino holding this stone will be able to Mega Evolve during battle.
audinite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
audinite,scarlet-violet,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
audinite,sun-moon,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
audinite,sword-shield,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
audinite,ultra-sun-ultra-moon,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
aurora-ticket,emerald,A ticket required to board the ship to Birth Island.
aurora-ticket,firered-leafgreen,A ticket required to board the ship to Birth Island. It glows beautifully.
auspicious-armor,legends-za,A peculiar set of armor that can make a certain species of Pokémon evolve. Auspicious wishes live within it.
auspicious-armor,scarlet-violet,A peculiar set of armor that can make a certain species of Pokémon evolve. Auspicious wishes live within it.
autograph,brilliant-diamond-shining-pearl,"The autograph you got from the Vermilion City Gym Leader, Lt. Surge. He wrote, ""Good luck!"""
autograph,legends-arceus,"The autograph you got from the Vermilion City Gym Leader, Lt. Surge. He wrote, ""Good luck!"""
autograph,lets-go-pikachu-lets-go-eevee,"The autograph you got from the Vermilion City Gym Leader, Lt. Surge. He wrote, ""Good luck!"""
autograph,scarlet-violet,"The autograph you got from the Vermilion City Gym Leader, Lt. Surge. He wrote, ""Good luck!"""
autograph,sword-shield,"The autograph you got from the Vermilion City Gym Leader, Lt. Surge. He wrote, ""Good luck!"""
autographed-plush,legends-za,A plush doll that has been autographed by Canari. Just having one puts you in a good mood.
aux-evasion,legends-arceus,An item that makes moves less likely to strike a Pokémon during a battle. This effect disappears if the Pokémon leaves the battle.
aux-evasion,scarlet-violet,An item that makes moves less likely to strike a Pokémon in battle. This effect disappears if the Pokémon leaves the battle.
aux-guard,legends-arceus,An item that sharply boosts the defensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
aux-guard,scarlet-violet,An item that sharply boosts the defensive stats of a Pokémon in battle. These effects disappear if the Pokémon leaves the battle.
aux-power,legends-arceus,An item that sharply boosts the offensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
aux-power,scarlet-violet,An item that sharply boosts the offensive stats of a Pokémon in battle. These effects disappear if the Pokémon leaves the battle.
aux-powerguard,legends-arceus,An item that sharply boosts the offensive and defensive stats of a Pokémon during a battle. These effects disappear if the Pokémon leaves the battle.
aux-powerguard,scarlet-violet,An item that sharply boosts the offensive and defensive stats of a Pokémon in battle. These effects disappear if the Pokémon leaves the battle.
avocado,scarlet-violet,"An ingredient with sweet notes—though its flavor is very mild. The avocado's richness, however, makes it satisfying to eat."
awakening,brilliant-diamond-shining-pearl,A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.
awakening,crystal,Awakens sleeping Pokémon.
awakening,diamond-pearl,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
awakening,emerald,Awakens a sleeping Pokémon.
awakening,firered-leafgreen,A spray-type medicine. It awakens a sleeping Pokémon.
awakening,gold-silver,Awakens sleeping Pokémon.
awakening,heartgold-soulsilver,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
awakening,legends-arceus,A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.
awakening,legends-za,A spray-type medicine to wake the sleeping. It can be used to rouse a Pokémon that is feeling drowsy.
awakening,lets-go-pikachu-lets-go-eevee,A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.
awakening,omega-ruby-alpha-sapphire,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
awakening,platinum,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
awakening,ruby-sapphire,Awakens a sleeping Pokémon.
awakening,scarlet-violet,A spray-type medicine to wake the sleeping. It can be used to rouse a Pokémon from the clutches of sleep.
awakening,stadium,Awakens a Pokémon that has fallen asleep.
awakening,sun-moon,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
awakening,sword-shield,A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.
awakening,ultra-sun-ultra-moon,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
awakening,x-y,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
azelfs-fang,legends-arceus,"Proof that you have completed the trial set by Azelf, the Being of Willpower that lives in Lake Valor. This item is needed to forge the Red Chain."
azelfs-fang,scarlet-violet,"Proof that you have completed the trial set by Azelf, the Being of Willpower that lives in Lake Valor. This item is needed to forge the Red Chain."
azure-flute,brilliant-diamond-shining-pearl,A flute that puts out echoing sounds that do not seem to be of this world. No one knows who made it.
azure-flute,diamond-pearl,A flute that puts out echoing sounds that do not seem to be of this world. It is unknown who made it.
