item_identifier,spin_off_game,effect_description,acquisition_method,notes
black-apricorn,Pokémon Quest,Used as an ingredient in cooking to attract Pokémon.,Expeditions or recycling Power Stones,
black-sludge,Pokémon: Magikarp Jump,Summons Gengar as a helper Pokémon.,Purchased for 600 diamonds; Friendship Item,
blastoisinite,Pokémon Shuffle,Allows Blastoise to Mega Evolve into Mega Blastoise.,Mission Card 12 or competitive stage rewards,
blazikenite,Pokémon Shuffle,Allows Blaziken to Mega Evolve.,Mission Card 17 or competitive stage reward,
bluk-berry,Pokémon Quest,Used as a blue cooking ingredient to attract wild Pokémon.,Expeditions and recycling Power Stones,
bluk-berry,Pokémon Sleep,Raises Snorlax's Strength; effect doubled if it is Snorlax's favorite.,Gathered by Ghost-type helper Pokémon,
blunder-policy,Pokémon Trading Card Game,Allows the player to draw three cards if they flip tails for an attached Pokémon’s attack.,,Pokémon Tool card introduced in the Sword & Shield Series.
booster-energy,Pokémon Masters EX,Increases the user's Physical Moves ↑ Next effect and Special Moves ↑ Next effect by one rank.,Item move for certain sync pairs,
bottle-cap,Pokémon GO,Initiates Hyper Training to increase one IV by completing tasks; expires if unused.,,"GO Pass Deluxe: Into the Wild; Introduced November 10, 2025"
bottle-cap,Pokémon Masters EX,,,Referenced in James’s Pokémon Center dialogue.
burn-heal,Pokémon Conquest,Cures burning.,Purchased from shops,Buy price 300–210 gold; sell price 150–195 gold
calcium,Pokémon Mystery Dungeon,Raises Special Attack by 3 and restores 5 Belly when consumed.,,
cameruptite,Pokémon Shuffle,Allows the player to Mega Evolve Camerupt.,Competitive stage reward,
camping-gear,Pokémon Trading Card Game,"Allows the player to search for a card from their deck and put it into their hand, then end their turn.",,Introduced in the Sword & Shield Series; Battle Styles expansion.
carbos,Pokémon Super Mystery Dungeon,Raises Speed by 3 and restores 5 Belly.,,
casteliacone,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,"Unlocked at Trainer Rank 60 for 92,874 coins.",
chalky-stone,Pokémon GO,A Buddy Souvenir with no functional purpose.,Buddy Souvenir,
charcoal,Pokémon: Magikarp Jump,Summons Charizard as a helper Pokémon.,Purchased for 600 diamonds,Friendship Item
charizardite-x,Pokémon Shuffle,Allows Charizard and Shiny Charizard to Mega Evolve into Mega Charizard X.,Trainer Rank 26 or event rotation,
charizardite-y,Pokémon Shuffle,Allows Charizard and Shiny Charizard to Mega Evolve into Mega Charizard Y.,"Trainer Rank 7, Mission Card 8, or competitive stage reward",
chesto-berry,Pokémon Mystery Dungeon,Wakes a Pokémon and fills its Belly slightly.,,
chesto-berry,Pokémon Sleep,"Raises Snorlax's Strength, with doubled effect if it is Snorlax's favorite.",Gathered by helper Pokémon,
choice-scarf,Pokémon: Magikarp Jump,Summons Gardevoir as a helper Pokémon.,Purchased for 600 diamonds,Friendship Item
choice-specs,Pokémon UNITE,Increases damage to a single target every 8 seconds and boosts Special Attack.,,
chople-berry,Pokémon Dream Radar,Used as an ingredient and exchange item in Pokémon Dream World.,exchange,
coba-berry,Pokémon Dream Radar,Used as an ingredient in Ice Cream Scoop with specific flavor and stickiness values.,exchange,
cornerstone-mask,Pokémon Trading Card Game,"Allows the player to search their discard pile for a Pokémon ex card with ""Ogerpon"" in its name and switch it with another Ogerpon ex in play.",,Depicted as part of the Ogre's Mask card in the Twilight Masquerade expansion.
damp-rock,Pokémon: Magikarp Jump,Summons Slowpoke as a helper Pokémon.,Purchased for 350 diamonds,Friendship Item
dark-stone,Learn with Pokémon: Typing Adventure,,,Appears in the game; details unknown.
dawn-stone,Pokémon Conquest,Equipped Warrior Pokémon can evolve when link is improved.,Purchased from traveling merchant,
dawn-stone,Pokémon Mystery Dungeon: Explorers,Allows certain Pokémon to evolve at Luminous Spring,can be thrown to deal minor damage.,
dawn-stone,Pokémon Sleep,Required to evolve certain Pokémon,consumed on use.,Sleep Point Exchange
deep-sea-scale,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Used with a Link Cable to evolve Clamperl into Gorebyss.,,
deep-sea-tooth,Pokémon Mystery Dungeon,Allows Clamperl to evolve into Huntail when combined with a Link Cable.,,
devon-scope,Pokémon Pinball: Ruby & Sapphire,Makes invisible Kecleon visible for a short time in the Kecleon bonus stage.,bonus-stage-object,
diancite,Pokémon Shuffle,Allows Diancie and Shiny Diancie to Mega Evolve.,Clear Level 50 of Mega Diancie escalation battle.,Available during multiple event periods.
dire-hit,Pokémon Masters EX,Raises critical-hit rate by one or more stat ranks depending on variant.,Item move used by certain sync pairs,"Includes Dire Hit +, Dire Hit All, and Dire Hit All + variants."
dna-splicers,Pokémon GO,Appears as part of Kyurem’s fusion animation.,,
dowsing-machine,Pokémon Trading Card Game,,TCG card,Appears as Item Finder or Dowsing Machine cards.
dowsing-machine,Pokéwalker,"A mini-game used to find items, costing 3 Watts per play.",Mini-game,Player gets two guesses per attempt.
dragon-fang,Pokémon Masters EX,,Purchased from Lodge Exchange after reaching friendship level 100 with Lance,Display-only item
dragon-scale,Pokémon GO,Required to evolve Seadra into Kingdra along with 100 Horsea Candy.,"PokéStops, Gyms, Gifts, Special Research; Added on 2017-02-16",
dragon-scale,Pokémon Mystery Dungeon,Allows Seadra to evolve into Kingdra when used with a Link Cable.,,
dragoninite,Pokémon Horizons: The Series,Used by Ult to Mega Evolve his Dragonite for the first time.,,Debuted in episode HZ107
dubious-disc,Pokémon Mystery Dungeon: Explorers,Used with a Link Cable to evolve Porygon2 into Porygon-Z; thrown deals minor damage.,,"shops, treasure boxes, job requests"
durin-berry,Pokémon Sleep,Raises Snorlax's Strength; effect is doubled if it is Snorlax's favorite Berry.,Gathered by helper Pokémon,
dusk-stone,Pokémon Conquest,Allows certain Pokémon to evolve when a warrior is equipped with it.,,
dusk-stone,Pokémon Mystery Dungeon: Explorers,Used to evolve certain Pokémon when offered at the Luminous Spring.,,
dusk-stone,Pokémon Sleep,Required to evolve certain Pokémon and consumed on use.,,
dynamax-band,Pokémon GO,Cosmetic item;  not required to Dynamax Pokémon.,,"Reward for Special Research ""To the Max!""; Added on 2024-09-04."
eject-button,Pokémon UNITE,Teleports the user a set distance away with a cooldown.,Unlocked at Trainer Level 11,Cooldown is 70 seconds.
electirizer,Pokémon Mystery Dungeon: Explorers of Time/Darkness/Sky,Allows Electabuzz to evolve into Electivire when offered with a Link Cable at Luminous Spring.,"Treasure Boxes, job requests, Kecleon Shops",Consumed on use; can be thrown for minor damage
electric-memory,Pokémon TCG: Ultra Prism,"When attached to Silvally-GX, changes its type to Lightning.",,
elixir,Pokémon Super Mystery Dungeon,Fully restores 10 PP to all moves and restores 5 Belly.,"Kecleon Shops, Sparkling Floor, dropped by wild Abra",
eon-mail,Pokémon Stadium 2,,,
everstone,Pokémon Quest,Toggles evolution prevention when held.,,
everstone,Pokémon: Magikarp Jump,Prevents Magikarp from evolving into Gyarados,can be broken.,starting-item
exp-share,Pokémon UNITE,Increases passive EXP gain when lowest on team and boosts allies' EXP from wild Pokémon.,,Held item with upgrade grades.
fancy-apple,Pokémon Sleep,Used as an ingredient in cooking with a base Strength of 90.,Gathered by helper Pokémon,
feather-ball,Pokémon Trading Card Game,"Allows the player to search their deck for a Pokémon with no Retreat Cost, reveal it, and put it into their hand.",,Introduced in the Sword & Shield Series; artwork by Studio Bora Inc.
figy-berry,Pokémon Sleep,"Raises Snorlax's Strength, with increased effect if it is Snorlax's favorite Berry.",Gathered by Ground-type helper Pokémon,
fire-stone,Pokémon Mystery Dungeon Series,"Used to evolve certain Pokémon, consuming the item.",,
fire-stone,Pokémon Sleep,Required to evolve certain Pokémon,consumed on use.,Sleep Point Exchange
flame-plate,Pokémon: Magikarp Jump,Friendship Item that summons Litten as a helper Pokémon.,Purchased for 250 diamonds,
float-stone,Pokémon Trading Card Game,The holder has no Retreat Cost.,trainer-card,Pokémon Tool card
float-stone,Pokémon UNITE,Increases movement speed out of combat and increases Attack and Speed.,,
flower-mail,Pokémon Stadium 2,,,
fluffy-tail,Pokémon UNITE,"Inflicts a debuff on a wild Pokémon, preventing attacks and dealing additional damage based on the user's stats and level.",,
focus-band,Pokémon UNITE,Recovers HP when below 25% and boosts Defense and Sp. Defense.,,
full-heal,Pokémon Conquest,Cures all status ailments.,Shop purchase,
full-heal,Pokémon Masters EX,Removes all status conditions from an ally.,Sync pair item move,
full-heal,Pokémon UNITE,Removes all status conditions and grants brief hindrance immunity.,Battle item unlock,Unlocked at Trainer Level 14
full-restore,Pokémon Conquest,Fully restores HP and cures all status ailments including confusion.,Purchased from the traveling merchant,Costs 3000 gold; sells for 1500–1950 gold.
galladite,Pokémon Shuffle,Allows the player to Mega Evolve Gallade.,Defeat Mega Gallade in Stage 580 at Prasino Woods,
garchompite,Pokémon Shuffle,Allows Garchomp to Mega Evolve into Mega Garchomp.,Competitive stage reward,Available during specific event periods.
gardevoirite,Pokémon Shuffle,Allows Gardevoir to Mega Evolve in Pokémon Shuffle.,Competitive stage rewards or Trainer Rank 20,
gengarite,Pokémon Shuffle,Allows Gengar and its variants to Mega Evolve.,Defeat Mega Gengar in Stage 135 (Castle Noapte),
glalitite,Pokémon Shuffle,Allows Glalie and Winking Glalie to Mega Evolve into Mega Glalie.,Defeat Mega Glalie in Stage 120 on Mt. Vinter.,
gold-bottle-cap,Pokémon GO,Initiates Hyper Training to raise up to all IVs over a year-long task-based process.,GO Pass Deluxe: Ancients Recovered,Must be used before expiry; only usable on Good Buddies or higher
golden-razz-berry,Pokémon GO,Adds a ×2.5 catch rate multiplier for wild Pokémon or fully restores a Gym defender's motivation.,"Raids, Field Research, PokéStops identified by Ultra Buddy, Special Research",Added on 2017-06-22.
good-rod,Pokémon Trading Card Game,"Flip a coin. If heads, search your discard pile for a Pokémon and put it on top of your deck. If tails, search for a Trainer card instead.",trading-card,Introduced in the English HeartGold & SoulSilver Series.
gracidea,Pokémon Mystery Dungeon: Explorers of Sky,Changes Shaymin to Sky Forme and increases Movement Speed by 1,consumed on use.,"Shaymin Village, Sky Gifts"
great-ball,Pokémon GO,Used during wild encounters with a 1.5× catch rate modifier.,"Level-up rewards, PokéStops, Gyms, Field Research, Gifts",
great-ball,Pokémon Shuffle,Doubles the Pokémon's current catchability.,Purchased with Coins after Poké Ball failure,
grepa-berry,Pokémon Sleep,"Raises Snorlax’s Strength, with increased effect if it is Snorlax’s favorite Berry.",Gathered by Electric-type helper Pokémon,
guard-spec,Pokémon Masters EX,Applies the Stat Reduction Defense effect to the allied field of play.,Sync pair item move,Only usable by certain sync pairs such as Brycen-Man & Zoroark.
gyaradosite,Pokémon Shuffle,Allows the player to Mega Evolve Gyarados and Shiny Gyarados.,Competitive stage reward,
haban-berry,Pokémon Dream Radar,Used as an exchange item for Décor such as the Dragonite Doll.,exchange,
hearthflame-mask,Pokémon Trading Card Game,Allows the player to search their discard pile for an Ogerpon Pokémon ex card and switch it with another Ogerpon Pokémon ex in play.,,Depicted on the Ogre's Mask card in the Twilight Masquerade expansion
heavy-ball,Pokémon Trading Card Game,"Allows the player to look at their face-down Prize cards, reveal a Basic Pokémon, put it into their hand, and replace it with this card.",booster-pack,Introduced in the Sword & Shield Series.
helix-fossil,Pokémon Trading Card Game Pocket,Played as a Colorless-type Basic Pokémon.,,Genetic Apex expansion
heracronite,Pokémon Shuffle,Allows Heracross to Mega Evolve into Mega Heracross.,Defeat Mega Heracross in Stage 210 (Pedra Valley),
hm01,Pokémon Mystery Dungeon,Teaches the move Cut.,Various dungeons and Kecleon Shops depending on title.,Named only by the move it teaches in Mystery Dungeon games.
hm02,Pokémon Mystery Dungeon,Teaches the move Fly.,Various dungeon locations and Kecleon Shops depending on the game.,Named after the move it teaches rather than an HM number.
hm03,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Teaches the move Surf.,Found in dungeons or shops.,
hm04,Pokémon Mystery Dungeon,Teaches the move Strength.,,Named by the move it teaches.
hm05,Pokémon Mystery Dungeon: Explorers of Time/Darkness/Sky,Teaches the move Defog.,Available in dungeons and shops.,
hm05,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Waterfall.,Available in Kecleon Shop and Quagsire Assembly.,
hm05,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Teaches the move Flash.,Found in Buried Relic (70F).,
hm05,Pokémon Super Mystery Dungeon,Teaches the move Waterfall,treated as a one-use TM.,Available in Kecleon Shops.
hm06,Pokémon Mystery Dungeon,Teaches the move Rock Smash.,Various dungeons and shops depending on the title.,Named only by the move it teaches in Mystery Dungeon games.
hm07,Pokémon Mystery Dungeon: Explorers of Time/Darkness/Sky,Teaches the move Waterfall.,"Available in dungeons, shops, cafés, or as rewards.",
hm07,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Teaches the move Waterfall.,Found in Solar Cave (15F).,
hm07,Pokémon Super Mystery Dungeon,Teaches the move Dive.,Purchased from Kecleon Shops.,
hm08,Pokémon Mystery Dungeon: Explorers of Time/Darkness/Sky,Teaches the move Rock Climb.,"Found in dungeons, shops, or rewards.",
hm08,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Teaches the move Dive.,Found in dungeons or purchased.,
honey,Pokémon Quest,Ingredient used in cooking to attract wild Pokémon.,Expeditions or recycling Power Stones,
honey,Pokémon Sleep,Ingredient used in cooking with base Strength of 101.,Gathered by helper Pokémon,
houndoominite,Pokémon Shuffle,Allows Houndoom to Mega Evolve into Mega Houndoom.,Competitive stage rewards,Available during specific event weeks in 2017
hyper-potion,Pokémon Conquest,Restores 200 HP.,Shop purchase,
hyper-potion,Pokémon GO,Restores 200 HP outside of battle.,Various repeatable methods,Cannot be used during battle.
iapapa-berry,Pokémon Dream Radar,Used in Ice Cream Scoop minigame and exchange for décor.,exchange,
ice-heal,Pokémon Conquest,Cures freezing.,Purchased from shops,"Costs 300–210 gold depending on shop, sells for 150–195 gold."
ice-stone,Pokémon Sleep,Required to evolve certain Pokémon and is consumed upon use.,Sleep Point Exchange or achievement reward,
icy-rock,Pokémon Quest,Used as a blue ingredient for cooking to attract Pokémon.,Expeditions and recycling Power Stones,
incinium-z,Super Smash Bros. Ultimate,"Appears briefly when Incineroar activates its Final Smash, Max Malicious Moonsault.",,
iron,Pokémon Mystery Dungeon,Raises Defense by 3 and restores 5 Belly.,various dungeons and shops,
kangaskhanite,Pokémon Shuffle,Allows Kangaskhan to Mega Evolve.,Defeat Mega Kangaskhan in Stage 20 (Sandy Bazaar),
key-stone,Pokémon Rumble World,Allows Mega Evolution in Pokémon Rumble World.,Complete the Raid of the Mighty General challenge,
kings-rock,Pokémon GO,Required to evolve certain Pokémon,consumed on use.,"PokéStops, Gifts, Special Research"
kings-rock,Pokémon Sleep,Required to evolve certain Pokémon,consumed on use.,Sleep Point Exchange
large-leek,Pokémon Sleep,Used as a cooking ingredient with a base Strength of 185.,Gathered by helper Pokémon.,
latiasite,Pokémon Shuffle,Allows the player to Mega Evolve Latias.,Clearing Mega Latias escalation battles,
latiosite,Pokémon Shuffle,Allows Latios to Mega Evolve into Mega Latios.,Escalation Battle rewards,
lava-cookie,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,Unlocked at Trainer Rank 42,Costs 7564 coins to unlock.
leaf-stone,Pokémon Mystery Dungeon,Used to evolve certain Pokémon when offered at special locations or used in dungeons.,,
leaf-stone,Pokémon Sleep,Required to evolve certain Pokémon,consumed upon use.,Sleep Point Exchange
leftovers,Pokémon UNITE,Heals the user when out of combat and increases HP and HP recovery.,,
leftovers,Pokémon: Magikarp Jump,Summons Snorlax as a helper Pokémon.,Purchased for 500 diamonds,Friendship Item
leppa-berry,Pokémon Sleep,"Raises Snorlax's Strength, with increased effect if it is Snorlax's favorite Berry.",Gathered by helper Pokémon,
light-ball,Pokémon: Magikarp Jump,Summons Pikachu as a helper Pokémon.,Reward for beating the Friend League,Friendship Item
light-stone,Learn with Pokémon: Typing Adventure,,,Appears in the game; details not specified.
linking-cord,Pokémon Sleep,Required to evolve certain Pokémon and is consumed upon use,using it from the Bag grants 5 candies of a random compatible Pokémon.,Sleep Point Exchange and achievement rewards
litebluemail,Pokémon Stadium 2,,,
lone-earring,Pokémon GO,A Buddy Souvenir with no functional purpose.,Buddy Pokémon souvenir,
looker-ticket,Pokémon Masters EX,Collecting all five tickets in Looker’s sync pair story rewards the player with a restaurant coupon.,story,
lopunnite,Pokémon Shuffle,Allows Lopunny to Mega Evolve into Mega Lopunny.,Defeat Mega Lopunny in Stage 60 on Rainbow Park.,
lovely-mail,Pokémon Stadium 2,,,
lucarionite,Pokémon Shuffle,Allows Lucario to Mega Evolve into Mega Lucario.,Mission Card 2 or competitive stage rewards,
lucky-egg,Pokémon GO,Doubles the experience points earned by the player for 30 minutes.,Shop purchase or level-up reward,
lum-berry,Pokémon Masters EX,Removes all status conditions from an ally.,item move,
lum-berry,Pokémon Sleep,"Raises Snorlax's Strength, with increased effect if it is a favorite Berry.",gathered by helper Pokémon,
lumiose-galette,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,Unlocked at Trainer Rank 54,costs 30428 coins to unlock.
lure,Pokémon Evolutions,,Appears in Green's Bag,Briefly appeared in the episode 'The Discovery'.
magmarizer,Pokémon Mystery Dungeon: Explorers,Used with a Link Cable at Luminous Spring to evolve Magmar into Magmortar.,"Treasure Boxes, Job requests, Kecleon Shops",
mago-berry,Pokémon Sleep,Raises Snorlax's Strength,effect is doubled if it is Snorlax's favorite Berry.,Gathered by Psychic-type helper Pokémon; Berries are consumed immediately and not stored.
manectite,Pokémon Shuffle,Allows Manectric to Mega Evolve.,Competitive stage rewards,
marble,Pokémon GO,A Buddy Souvenir with no functional purpose.,Buddy Souvenir,Collected by Buddy Pokémon after reaching Ultra Buddy level.
master-ball,Pokémon GO,Catches any encountered Pokémon without fail and awards a fixed XP bonus.,special research,
mawilite,Pokémon Shuffle,Allows Mawile to Mega Evolve into Mega Mawile.,Defeat Mega Mawile in Stage 90 on Sweet Strasse,
max-elixir,Pokémon Mystery Dungeon Series,Fully restores PP of all moves and restores Belly,may remove sealed status.,dungeons and shops
max-ether,Pokémon Mystery Dungeon: Rescue Team DX,Fully restores the PP of one move,"if thrown, applies the same effect to the Pokémon it hits.",
max-mushrooms,Pokémon GO,"Increases the damage of Fast Attacks, Charged Attacks, and Max/G-Max Moves during Max Battles for 30 minutes.",,Added on 2024-12-03
max-potion,Pokémon Conquest,Fully restores HP.,Purchased from Level 3 shops.,
max-potion,Pokémon GO,Fully restores all HP of a Pokémon outside of battle.,Shop purchase and gameplay rewards.,Cannot be used during battle.
max-revive,Pokémon GO,Revives a fainted Pokémon and fully restores its HP,usable only outside battle.,Shop purchase or gameplay rewards
meadow-plate,Pokémon: Magikarp Jump,Summons Rowlet as a helper Pokémon.,Purchased for diamonds,Friendship Item
medichamite,Pokémon Shuffle,Allows Medicham to Mega Evolve.,Defeat Mega Medicham in Stage 240 (Albens Town),
mega-bracelet,Pokémon GO,Cosmetic accessory only,not required for Mega Evolution.,Style Shop; Added on 2020-08-27 alongside the release of Mega Evolution in Pokémon GO.
mega-ring,Pokémon Adventures,Allows manga characters to Mega Evolve their Pokémon.,,Appears in the Pokémon Adventures manga.
mega-ring,Pokémon the Series,Used by various characters to enable Mega Evolution in animation.,,"Appears in Pokémon the Series, Pokémon Journeys, Pokémon Evolutions, and Pokémon Horizons."
metagrossite,Pokémon Shuffle,Allows Metagross and Shiny Metagross to Mega Evolve.,Defeat Mega Metagross in Stage 500 at Graucus Hall.,
metal-coat,Pokémon GO,Used to evolve Onix into Steelix and Scyther into Scizor.,"PokéStops, Gifts, Research",Added on 2017-02-16
metal-coat,Pokémon Sleep,Consumed to evolve certain Pokémon.,Sleep Point Exchange,
meteorite,Pokémon GO,"Used to teach Rayquaza the move Dragon Ascent, enabling Mega Evolution.",Special Research or random drop from Mega Rayquaza raids.,
meteorite,Pokémon Shuffle,Allows Rayquaza and Shiny Rayquaza to Mega Evolve.,Defeat Mega Rayquaza in Stage 300 or event prize.,
mewtwonite-x,Pokémon Shuffle,Allows the player to Mega Evolve Mewtwo and Shiny Mewtwo.,Defeat Mega Mewtwo in Stage 350 or competitive events,
mewtwonite-y,Pokémon Shuffle,Allows Mewtwo to Mega Evolve.,Defeat Mega Mewtwo in Stage 150 on Jungle Verde.,
mint-berry,Pokémon Stadium 2,"Always activates at the end of a turn to cure sleep, even if the holder used Rest earlier in the turn.",,
miracle-seed,Pokémon: Magikarp Jump,Summons Bulbasaur as a helper Pokémon.,Reward for beating the Luxury League,Friendship Item
mirage-mail,Pokémon Stadium 2,,,
moomoo-cheese,Pokémon Trading Card Game,Heals 30 damage from up to two Pokémon that have Energy attached.,booster-pack,Item card introduced in the Sword & Shield Series.
moomoo-milk,Pokémon Sleep,Used as a cooking ingredient with a base Strength of 98.,Gathered by helper Pokémon.,
moon-stone,Pokémon Mystery Dungeon,Used to evolve certain Pokémon when offered at special locations or used in dungeons.,,
moon-stone,Pokémon Sleep,Required to evolve certain Pokémon and is consumed on use.,Sleep Point Exchange,
morph-mail,Pokémon Stadium 2,,,
muscle-band,Pokémon UNITE,Increases Attack and Attack Speed and causes basic attacks to deal additional damage based on the target’s remaining HP with a cooldown.,,
music-mail,Pokémon Stadium 2,,,
mystic-water,Pokémon: Magikarp Jump,Summons Piplup as a helper Pokémon.,Reward for beating the Quick League,Friendship Item
nanab-berry,Pokémon GO,"Calms wild Pokémon, preventing attacks or dodges.","PokéStops, Gyms, Field Research",Effect updated on 2020-12-02.
nanab-berry,Pokémon UNITE,Appears during Greedent's Unite Move.,,
nugget,Pokémon Masters EX,Used as an exchange currency in special events and converted to coins after events.,event rewards,Converted at a higher rate than other event items.
odd-keystone,Pokémon Mystery Dungeon: Explorers of Time/Darkness/Sky,Reveals Spiritomb during story events.,story,
old-amber,Pokémon Trading Card Game Pocket,Played as a Colorless-type Basic Pokémon item card.,TCG expansion Genetic Apex,
old-charm,Pokémon Masters EX,A replica item used for display in the Trainer Lodge.,Lodge Exchange after reaching friendship level 100 with Cynthia.,
old-gateau,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,Unlocked at Trainer Rank 73,Costs 429910 coins to unlock.
old-rod,Pokémon: Magikarp Jump,"Used to fish Magikarp, with improved variants unlocked as the player progresses.",,"Includes So-So, Good, Great, Rare, Pro's, and Supreme variants."
oran-berry,Pokémon Mystery Dungeon,Restores a large amount of HP and slightly fills the Belly.,,
oval-stone,Pokémon Mystery Dungeon: Explorers,Allows Happiny to evolve into Chansey at Luminous Spring when offered with a Sun Ribbon.,"Treasure Boxes, job requests, Kecleon Shops",
pamtre-berry,Pokémon Sleep,Raises Snorlax's Strength,effect is doubled if it is Snorlax's favorite Berry.,Gathered by Flying-type helper Pokémon; Berries are immediately consumed by Snorlax and do not enter inventory.
paralyze-heal,Pokémon Conquest,Cures paralysis.,Shop purchase,Costs 200–140 gold; sells for 100–130 gold.
payapa-berry,Pokémon Dream Radar,Used as an ingredient and exchange item in the Pokémon Dream World.,exchange,
pearl,Pokémon Masters EX,"Can be exchanged for 1,000 coins.",exchange,
persim-berry,Pokémon Sleep,"Raises Snorlax's Strength, with doubled effect if it is Snorlax's favorite Berry.",Gathered by Normal-type helper Pokémon,
pidgeotite,Pokémon Shuffle,Allows Pidgeot to Mega Evolve into Mega Pidgeot.,Trainer Rank 12 or competitive stage prize,
pinap-berry,Pokémon GO,Doubles Candy gained when catching a Pokémon.,"PokéStops, Gyms, Research rewards",Added on 2017-02-16
pinsirite,Pokémon Shuffle,Allows Pinsir to Mega Evolve into Mega Pinsir.,Completing the competitive stage in Week 13 of the event rotation.,
poke-ball,Pokémon GO,Used to catch wild Pokémon with a catch rate modifier of 1×.,"Starting item, PokéStops, research, shop purchase",
poke-doll,Pokémon Masters EX,Decorative replica for the Trainer Lodge.,Lodge Exchange,
poke-flute,Pokémon Snap,Wakes sleeping Pokémon and may cause them to dance or pose.,"Reward from Professor Oak for scoring 125,000 points.",
pokemon-box-link,Pokémon GO,Stores the player's Pokémon with expandable capacity.,Starting feature with optional storage upgrades,
portraitmail,Pokémon Stadium 2,,,
potion,Pokémon Conquest,Restores 20 HP.,Shop purchase,
potion,Pokémon GO,Heals a Pokémon by 20 HP outside of battle.,"Level up rewards, PokéStops, Gyms, research, gifts",
potion,Pokémon Masters EX,Restores approximately 40% HP to one ally.,Item move for certain sync pairs,
potion,Pokémon UNITE,Restores 160 HP plus 20% of max HP.,Battle item unlocked at Trainer Level 4,30 second cooldown
